fileid,chunk_count,chunk_indices,chunk_mic_files,audio_duration_sec,gt_dominant_spk1_doa,gt_text_file,wer,edit_distance,ref_words,reference,hypothesis,selected_doas,selected_doa_error_deg
0,4,"1,2,3,4",mic_fileid_0_doa73_3spk_1.wav|mic_fileid_0_doa73_3spk_2.wav|mic_fileid_0_doa73_3spk_3.wav|mic_fileid_0_doa73_3spk_4.wav,16,73,text_fileid_0_doa73_spk1.txt,0.07894736842105263,3,38,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"but before his arrival life was extinct. is insane with grief, more especially because the maid discovered that her ladyship had left a letter to some man she calls telling him that she loved him.","75,74,73,89",4.75
1,4,"1,2,3,4",mic_fileid_1_doa82_3spk_1.wav|mic_fileid_1_doa82_3spk_2.wav|mic_fileid_1_doa82_3spk_3.wav|mic_fileid_1_doa82_3spk_4.wav,16,187,text_fileid_1_doa187_spk1.txt,0.09375,3,32,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,But the precautions which have been so happily concerted in the system are under consideration. Promise and effectual security against the. mischief. The choice of several to form an intermediate body of electors.,"189,188,189,187",1.25
2,5,"1,2,3,4,5",mic_fileid_2_doa36_3spk_1.wav|mic_fileid_2_doa36_3spk_2.wav|mic_fileid_2_doa36_3spk_3.wav|mic_fileid_2_doa36_3spk_4.wav|mic_fileid_2_doa36_3spk_5.wav,20,36,text_fileid_2_doa36_spk1.txt,0.21951219512195122,9,41,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"or washing or churning days. Her life was quiet. monotonous, although hardworking, and while her hands mechanically found and did the recustom labor. The thoughts that rose in her head always centered on Charlie Kinraid, his ways, his work. words.","43,46,45,45,32",7.8
3,4,"1,2,3,4",mic_fileid_3_doa39_3spk_1.wav|mic_fileid_3_doa39_3spk_2.wav|mic_fileid_3_doa39_3spk_3.wav|mic_fileid_3_doa39_3spk_4.wav,16,39,text_fileid_3_doa39_spk1.txt,0.23529411764705882,8,34,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,which takes over the usual stream of consciousness type of thinking. it is implied that the process may be atavistic. theories. One Help by Dr. Louis R. Wolberg. psychoanalyst.,"39,43,35,39",2
4,4,"1,2,3,4",mic_fileid_4_doa26_3spk_1.wav|mic_fileid_4_doa26_3spk_2.wav|mic_fileid_4_doa26_3spk_3.wav|mic_fileid_4_doa26_3spk_4.wav,16,26,text_fileid_4_doa26_spk1.txt,0.1875,6,32,THE PUBLICATION IF MADE AT ALL SHOULD BE EFFECTED AS SOON AS POSSIBLE AFTER MY DEATH MY FATHER DIED ON THE SIXTH OF DECEMBER EIGHTEEN EIGHTY TWO IT WILL BE SEEN THEREFORE,"The publication, if made at all, should be affected as soon as possible. possible after my death. My father died on the 6th of December, 1882. It will be seen therefore.","25,25,26,26",0.5
5,4,"1,2,3,4",mic_fileid_5_doa60_3spk_1.wav|mic_fileid_5_doa60_3spk_2.wav|mic_fileid_5_doa60_3spk_3.wav|mic_fileid_5_doa60_3spk_4.wav,16,338,text_fileid_5_doa338_spk1.txt,0.28205128205128205,11,39,HOW TRUE WHEN ONE HAS THE HONOR OF BEING AN EXPERT AS MASTER IS ONE MUSTN'T LAY HIMSELF OPEN TO CONSEIL DIDN'T HAVE TIME TO COMPLETE THE COMPLIMENT IN THE MIDST OF THE GENERAL SILENCE A VOICE BECAME AUDIBLE,"How true. When one has the honor of being a expert as master is, one mustn't let himself open to. can't say they didn't have time to complete the complement. And then midst of the challenge, The general silence of voice became audible.","338,334,337,338",1.25
6,4,"1,2,3,4",mic_fileid_6_doa30_3spk_1.wav|mic_fileid_6_doa30_3spk_2.wav|mic_fileid_6_doa30_3spk_3.wav|mic_fileid_6_doa30_3spk_4.wav,16,140,text_fileid_6_doa140_spk1.txt,0.02702702702702703,1,37,HE WORE A BLOUSE AND UNDER HIS BLOUSE AN OLD BLACK COAT HE MADE PRETENSIONS TO LITERATURE AND TO MATERIALISM THERE WERE CERTAIN NAMES WHICH HE OFTEN PRONOUNCED TO SUPPORT WHATEVER THINGS HE MIGHT BE SAYING VOLTAIRE,He wore a blouse and under his blouse an old black coat He made pretensions to literature and to materialism. There were certain names which he often pronounced to support whatever things he might be safe. Voltaire.,"141,141,141,139",1
7,3,"1,2,3",mic_fileid_7_doa57_3spk_1.wav|mic_fileid_7_doa57_3spk_2.wav|mic_fileid_7_doa57_3spk_3.wav,12,57,text_fileid_7_doa57_spk1.txt,1.3043478260869565,30,23,THOSE BULLET HOLES IN THE BACK OF THE CAR WERE FIRED FROM ABOVE AND BEHIND THE MACHINE THEY SLANTED DOWN BUT NOT SIDEWISE,Looking from an after window and even going out on a small open platform. at an avalanche. He wouldn't lose voice away and empty the drive. was just capering about with the...,"113,217,121",93.33333333333333
8,5,"1,2,3,4,5",mic_fileid_8_doa80_3spk_1.wav|mic_fileid_8_doa80_3spk_2.wav|mic_fileid_8_doa80_3spk_3.wav|mic_fileid_8_doa80_3spk_4.wav|mic_fileid_8_doa80_3spk_5.wav,20,333,text_fileid_8_doa333_spk1.txt,0.16363636363636364,9,55,THEY WANTED TO LEARN THE GAME AT TWO O'CLOCK THE CAPTAIN ASKED THE MATE HOW WE WERE GETTING ON OH PRETTY GLIBLY SIR REPLIED THE MATE WE CAN SCARCELY TELL WHAT HEADWAY WE ARE MAKING FOR WE ARE OBLIGED TO KEEP THE MIDDLE OF THE RIVER AND THERE IS THE SHADOW OF A FOG RISING,"They wanted to learn the game. At 2 o'clock, the captain... the mate how we were getting on. Oh, pretty glibly sir. reply to me. We can scarcely tell what headway we are making. of lives to keep the middle of the river. And there is the shadow of a fog rising.","333,332,334,333,220",23
9,4,"1,2,3,4",mic_fileid_9_doa85_3spk_1.wav|mic_fileid_9_doa85_3spk_2.wav|mic_fileid_9_doa85_3spk_3.wav|mic_fileid_9_doa85_3spk_4.wav,16,314,text_fileid_9_doa314_spk1.txt,0.1282051282051282,5,39,THE DEAF GENTLEMAN SUBMITTED WHY DID YOU INVITE YOURSELF BECAUSE A TEA PARTY IS NOT COMPLETE WITHOUT A WOMAN HER MANNER WAS AS STRANGELY ALTERED AS HER LOOKS THAT SHE WAS BESIDE HERSELF FOR THE MOMENT I CLEARLY SAW,The deaf gentlemen submitted. Why did you invite yourself? because a tea party is not complete without a woman. Her man are all was as strangely altered as her looks. That she was beside her. herself for the moment I clearly saw.,"314,313,313,314",0.5
